run,number_of_reads
Tpa_01_L8_OBIWAN_314_R1,36888808
Tpa_01_L8_OBIWAN_314_R2,36888808
Tpa_01_L8_OBIWAN_314_se,5579536
Tpa_02_L4_OBIWAN_310_R1,37271973
Tpa_02_L4_OBIWAN_310_R2,37271973
Tpa_02_L4_OBIWAN_310_se,5638847
Tpa_02_L5_OBIWAN_307_R1,32983809
Tpa_02_L5_OBIWAN_307_R2,32983809
Tpa_02_L5_OBIWAN_307_se,6759224
Tpa_02_L8_OBIWAN_314_R1,38022237
Tpa_02_L8_OBIWAN_314_R2,38022237
Tpa_02_L8_OBIWAN_314_se,6275520
Tpa_03_L4_OBIWAN_310_R1,35729946
Tpa_03_L4_OBIWAN_310_R2,35729946
Tpa_03_L4_OBIWAN_310_se,4749843
Tpa_03_L5_OBIWAN_307_R1,31947668
Tpa_03_L5_OBIWAN_307_R2,31947668
Tpa_03_L5_OBIWAN_307_se,5657645
Tpa_03_L8_OBIWAN_314_R1,36772130
Tpa_03_L8_OBIWAN_314_R2,36772130
Tpa_03_L8_OBIWAN_314_se,5370730
Tpa_04_L4_OBIWAN_310_R1,35310160
Tpa_04_L4_OBIWAN_310_R2,35310160
Tpa_04_L4_OBIWAN_310_se,4556487
Tpa_04_L5_OBIWAN_307_R1,31644451
Tpa_04_L5_OBIWAN_307_R2,31644451
Tpa_04_L5_OBIWAN_307_se,5393535
Tpa_04_L8_OBIWAN_314_R1,37021900
Tpa_04_L8_OBIWAN_314_R2,37021900
Tpa_04_L8_OBIWAN_314_se,5188240
Tpa_05_L4_OBIWAN_310_R1,58365533
Tpa_05_L4_OBIWAN_310_R2,58365533
Tpa_05_L4_OBIWAN_310_se,8722314
Tpa_05_L5_OBIWAN_307_R1,50772438
Tpa_05_L5_OBIWAN_307_R2,50772438
Tpa_05_L5_OBIWAN_307_se,10861512
Tpa_05_L8_OBIWAN_314_R1,60129696
Tpa_05_L8_OBIWAN_314_R2,60129696
Tpa_05_L8_OBIWAN_314_se,9981700
Tps_01_L3_OBIWAN_307_R1,40575049
Tps_01_L3_OBIWAN_307_R2,40575049
Tps_01_L3_OBIWAN_307_se,8246878
Tps_01_L3_OBIWAN_312_R1,42378186
Tps_01_L3_OBIWAN_312_R2,42378186
Tps_01_L3_OBIWAN_312_se,5696160
Tps_01_L8_OBIWAN_310_R1,47228235
Tps_01_L8_OBIWAN_310_R2,47228235
Tps_01_L8_OBIWAN_310_se,6363839
Tps_02_L3_OBIWAN_307_R1,32797961
Tps_02_L3_OBIWAN_307_R2,32797961
Tps_02_L3_OBIWAN_307_se,6543846
Tps_02_L3_OBIWAN_312_R1,32812781
Tps_02_L3_OBIWAN_312_R2,32812781
Tps_02_L3_OBIWAN_312_se,4617878
Tps_02_L8_OBIWAN_310_R1,37544866
Tps_02_L8_OBIWAN_310_R2,37544866
Tps_02_L8_OBIWAN_310_se,5247420
Tps_03_L3_OBIWAN_307_R1,41342300
Tps_03_L3_OBIWAN_307_R2,41342300
Tps_03_L3_OBIWAN_307_se,8544546
Tps_03_L3_OBIWAN_312_R1,41377298
Tps_03_L3_OBIWAN_312_R2,41377298
Tps_03_L3_OBIWAN_312_se,5995395
Tps_03_L8_OBIWAN_310_R1,47519194
Tps_03_L8_OBIWAN_310_R2,47519194
Tps_03_L8_OBIWAN_310_se,6848690
Tps_04_L3_OBIWAN_307_R1,34804685
Tps_04_L3_OBIWAN_307_R2,34804685
Tps_04_L3_OBIWAN_307_se,8192432
Tps_04_L3_OBIWAN_312_R1,35919284
Tps_04_L3_OBIWAN_312_R2,35919284
Tps_04_L3_OBIWAN_312_se,5848510
Tps_04_L8_OBIWAN_310_R1,40580337
Tps_04_L8_OBIWAN_310_R2,40580337
Tps_04_L8_OBIWAN_310_se,6630520
Tps_05_L3_OBIWAN_307_R1,37884165
Tps_05_L3_OBIWAN_307_R2,37884165
Tps_05_L3_OBIWAN_307_se,8477601
Tps_05_L3_OBIWAN_312_R1,39020431
Tps_05_L3_OBIWAN_312_R2,39020431
Tps_05_L3_OBIWAN_312_se,6029435
